muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
202,8.08,-1125141,2342.5851043003004,nan,-,-,-,-,-
203,8.12,-1132286,4823.362076968322,nan,-,-,-,-,-
204,8.16,-1138653,7071.439028160792,nan,-,-,-,-,-
205,8.2,-1144818,7501.549290651365,nan,-,-,-,-,-
206,8.24,-1150695,5117.420262238002,nan,-,-,-,-,-
207,8.28,-1155278,1144.1950648187849,nan,-,-,-,-,-
208,8.32,-1160912,-1801.3407427347256,nan,-,-,-,-,-
209,8.36,-1158063,-2841.1843707803678,nan,-,-,-,-,-
210,8.4,-1118016,-3803.434420977541,nan,-,-,-,-,-
211,8.44,-1109279,-3825.942649137465,nan,-,-,-,-,-
212,8.48,-1116275,-3774.234558795293,nan,-,-,-,-,-
213,8.52,-1122516,-3703.53013043325,nan,-,-,-,-,-
214,8.56,-1124102,-3221.431200577416,nan,-,-,-,-,-
215,8.6,-1128165,-2042.7978949675644,nan,-,-,-,-,-
216,8.64,-1129708,-583.4900892280202,nan,-,-,-,-,-
217,8.68,-1126965,1016.6393011819305,nan,-,-,-,-,-
218,8.72,-1128476,3140.6489261988736,nan,-,-,-,-,-
219,8.76,-1134086,5379.66232952362,nan,-,-,-,-,-
220,8.8,-1141251,6318.860037273651,nan,-,-,-,-,-
221,8.84,-1147794,4733.720480115377,nan,-,-,-,-,-
222,8.88,-1154544,1373.796273759399,nan,-,-,-,-,-
223,8.92,-1161108,-1487.9631063423876,nan,-,-,-,-,-
224,8.96,-1166709,-2360.553721643618,nan,-,-,-,-,-
226,9.04,-1177154,-946.1710274310158,nan,-,-,-,-,-
227,9.08,-1135488,-2305.5665610327087,nan,-,-,-,-,-
228,9.12,-1110333,-3659.960218096392,nan,-,-,-,-,-
229,9.16,-1111460,-4156.188945419293,nan,-,-,-,-,-
230,9.2,-1116830,-3966.7607590105017,nan,-,-,-,-,-
231,9.24,-1117423,-3171.6175194410166,nan,-,-,-,-,-
232,9.28,-1117736,-1840.8746684017838,nan,-,-,-,-,-
233,9.32,-1121855,-175.23300891979125,nan,-,-,-,-,-
234,9.36,-1121071,1544.8468918243925,nan,-,-,-,-,-
235,9.4,-1124030,3900.204835318882,nan,-,-,-,-,-
236,9.44,-1130109,6713.630012039339,nan,-,-,-,-,-
237,9.48,-1137484,8564.346058337418,nan,-,-,-,-,-
238,9.52,-1144108,7646.400917250914,nan,-,-,-,-,-
239,9.56,-1150252,3958.8077311367015,nan,-,-,-,-,-
240,9.6,-1155656,-219.63102735176835,nan,-,-,-,-,-
241,9.64,-1160723,-2560.3803495267985,nan,-,-,-,-,-
242,9.68,-1165322,-2883.566686187997,nan,-,-,-,-,-
243,9.72,-1129238,-3805.5663458322524,nan,-,-,-,-,-
244,9.76,-1108126,-4508.20972194284,nan,-,-,-,-,-
245,9.8,-1109924,-4710.567218284938,nan,-,-,-,-,-
246,9.84,-1115196,-4567.515390128288,nan,-,-,-,-,-
247,9.88,-1116922,-3959.643105549547,nan,-,-,-,-,-
248,9.92,-1116424,-2834.654621189184,nan,-,-,-,-,-
249,9.96,-1121037,-1173.1039333462159,nan,-,-,-,-,-
250,10.0,-1121524,633.3636514957552,nan,-,-,-,-,-
251,10.04,-1120839,2819.3863324433996,nan,-,-,-,-,-
252,10.08,-1124000,5365.471008896162,nan,-,-,-,-,-
253,10.12,-1129753,7071.294795334759,nan,-,-,-,-,-
254,10.16,-1136262,6398.082397118078,nan,-,-,-,-,-
255,10.2,-1143275,3364.5860785435507,nan,-,-,-,-,-
256,10.24,-1150331,-37.134248537013264,nan,-,-,-,-,-
257,10.28,-1156244,-1851.6557169208309,nan,-,-,-,-,-
258,10.32,-1162122,-1921.783942553655,nan,-,-,-,-,-
259,10.36,-1161269,-1641.5973814271483,nan,-,-,-,-,-
260,10.4,-1120557,-2920.52863303314,nan,-,-,-,-,-
261,10.44,-1110846,-3505.248520792182,nan,-,-,-,-,-
262,10.48,-1119939,-3492.357815353311,nan,-,-,-,-,-
263,10.52,-1127962,-3262.8603330127344,nan,-,-,-,-,-
264,10.56,-1131997,-2738.7830921366694,nan,-,-,-,-,-
265,10.6,-1137923,-1716.5766615382372,nan,-,-,-,-,-
266,10.64,-1140556,-447.4238813104048,nan,-,-,-,-,-
267,10.68,-1139614,1108.3548609494255,nan,-,-,-,-,-
268,10.72,-1142594,3292.7705363504174,nan,-,-,-,-,-
269,10.76,-1149316,5607.526537320911,nan,-,-,-,-,-
270,10.8,-1157872,6569.6933150685,nan,-,-,-,-,-
271,10.84,-1166019,4880.532964718563,nan,-,-,-,-,-
272,10.88,-1174029,1277.4685706961864,nan,-,-,-,-,-
273,10.92,-1182160,-1819.5421733649255,nan,-,-,-,-,-
274,10.96,-1175702,-3205.7381050998,nan,-,-,-,-,-
275,11.0,-1132379,-4016.32447569766,nan,-,-,-,-,-
276,11.04,-1131985,-3093.0784574648096,nan,-,-,-,-,-
277,11.08,-1138344,-2444.571121936011,nan,-,-,-,-,-
278,11.12,-1140016,-2422.326766482076,nan,-,-,-,-,-
279,11.16,-1143128,-2405.3585188873435,nan,-,-,-,-,-
280,11.2,-1147209,-1990.5723545102119,nan,-,-,-,-,-
281,11.24,-1146523,-1083.2999223934576,nan,-,-,-,-,-
282,11.28,-1146821,681.026331923903,nan,-,-,-,-,-
283,11.32,-1151303,3331.9280610566875,nan,-,-,-,-,-
284,11.36,-1158876,5985.413842078908,nan,-,-,-,-,-
285,11.4,-1166278,6898.008547208772,nan,-,-,-,-,-
286,11.44,-1172885,5028.291675180881,nan,-,-,-,-,-
287,11.48,-1179097,1504.8555561799676,nan,-,-,-,-,-
288,11.52,-1185724,-1252.230894154286,nan,-,-,-,-,-
289,11.56,-1193067,-2014.410648532501,nan,-,-,-,-,-
290,11.6,-1164063,-2684.023405533313,nan,-,-,-,-,-
291,11.64,-1138475,-3205.711079935274,nan,-,-,-,-,-
292,11.68,-1139208,-3330.644977343716,nan,-,-,-,-,-
293,11.72,-1144742,-3489.522868517519,nan,-,-,-,-,-
294,11.76,-1145481,-3484.421323338663,nan,-,-,-,-,-
295,11.8,-1145583,-2881.092124563285,nan,-,-,-,-,-
296,11.84,-1150205,-1574.6097665423767,nan,-,-,-,-,-
297,11.88,-1152175,60.75944636030454,nan,-,-,-,-,-
298,11.92,-1151602,2092.5126293280055,nan,-,-,-,-,-
299,11.96,-1154026,4593.485998980121,nan,-,-,-,-,-
301,12.04,-1167214,6446.738934753357,nan,-,-,-,-,-
302,12.08,-1173882,3832.052081643298,nan,-,-,-,-,-
303,12.12,-1180066,455.7216213577449,nan,-,-,-,-,-
304,12.16,-1187006,-1581.6462951026688,nan,-,-,-,-,-
