muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
432,8.64,-939146,245.41602543888624,30,-,induccion,-,-
433,8.66,-940715,1102.6940496242769,30,-,induccion,-,-
434,8.68,-939969,1713.6168795395088,30,-,induccion,-,-
435,8.7,-941702,2300.517756479854,30,-,induccion,-,-
436,8.72,-937727,2124.8559169612904,30,-,induccion,-,-
437,8.74,-939941,2063.279884635881,30,-,induccion,-,-
438,8.76,-939205,1474.0635833206154,30,-,induccion,-,-
439,8.78,-941004,910.0474113524701,30,-,induccion,-,-
440,8.8,-940523,165.14830429479002,30,-,induccion,-,-
441,8.82,-942272,-276.07162823754834,30,-,induccion,-,-
442,8.84,-943812,-523.0791556161857,30,-,induccion,-,-
443,8.86,-943338,-710.3509148654084,30,-,induccion,-,-
444,8.88,-942188,-789.8588188267404,30,-,induccion,-,-
445,8.9,-934719,-1270.5533829152728,30,-,induccion,-,-
446,8.92,-932489,-1327.9022421722057,30,-,induccion,-,-
447,8.94,-927002,-1631.0926708393908,30,-,induccion,-,-
448,8.96,-928393,-1375.800852509521,30,-,induccion,-,-
449,8.98,-927637,-1195.6128363199869,30,-,induccion,-,-
450,9.0,-929979,-635.3646491881204,83,42.0,induccion,-,-
451,9.02,-932553,100.84500804063771,83,-,induccion,-,-
452,9.04,-933440,820.0975611251283,83,-,induccion,-,-
453,9.06,-932488,1406.3651397179874,83,-,induccion,-,-
454,9.08,-933258,1989.076801102644,83,-,induccion,-,-
