muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
328,13.12,-1340606,-2157.40450001876,nan,-,-,-,-,-
329,13.16,-1320121,-3150.4030741807655,nan,-,-,-,-,-
330,13.2,-1275477,-5136.759078832896,nan,-,-,-,-,-
331,13.24,-1268267,-5724.546955576727,nan,-,-,-,-,-
332,13.28,-1272057,-5364.210034311676,nan,-,-,-,-,-
333,13.32,-1274476,-4287.654314952035,nan,-,-,-,-,-
334,13.36,-1274388,-2707.7524153044483,nan,-,-,-,-,-
335,13.4,-1278431,-747.6718309535872,nan,-,-,-,-,-
336,13.44,-1281379,1296.1012538673567,nan,-,-,-,-,-
337,13.48,-1280270,3571.210139593759,nan,-,-,-,-,-
338,13.52,-1282135,6426.814968811117,nan,-,-,-,-,-
339,13.56,-1287283,8981.196133202653,nan,-,-,-,-,-
340,13.6,-1293744,9333.863045867432,nan,-,-,-,-,-
341,13.64,-1300678,6492.406325867316,nan,-,-,-,-,-
342,13.68,-1307626,1929.657163738906,nan,-,-,-,-,-
343,13.72,-1314428,-1623.859633580665,nan,-,-,-,-,-
344,13.76,-1320629,-2892.225740102798,nan,-,-,-,-,-
345,13.8,-1326563,-2683.9590926524834,nan,-,-,-,-,-
346,13.84,-1332250,-2311.0025781213476,nan,-,-,-,-,-
347,13.88,-1337874,-2317.7842560459844,nan,-,-,-,-,-
348,13.92,-1343401,-2629.658838316281,nan,-,-,-,-,-
349,13.96,-1345021,-3125.797307255175,nan,-,-,-,-,-
350,14.0,-1291693,-5147.807550533929,nan,-,-,-,-,-
351,14.04,-1271492,-5592.620084702954,nan,-,-,-,-,-
352,14.08,-1273494,-4733.619066448358,nan,-,-,-,-,-
353,14.12,-1277728,-3340.105854949652,nan,-,-,-,-,-
354,14.16,-1279373,-1781.057866733649,nan,-,-,-,-,-
355,14.2,-1282341,-144.0337507238237,nan,-,-,-,-,-
356,14.24,-1286433,1498.6394374434494,nan,-,-,-,-,-
357,14.28,-1284902,3200.861012637324,nan,-,-,-,-,-
358,14.32,-1286862,5657.458550620977,nan,-,-,-,-,-
359,14.36,-1293410,8556.022342451444,nan,-,-,-,-,-
360,14.4,-1301106,10080.14368411815,nan,-,-,-,-,-
361,14.44,-1309621,8391.427730536554,nan,-,-,-,-,-
362,14.48,-1317099,3821.990499019641,nan,-,-,-,-,-
363,14.52,-1323857,-850.8718204724319,nan,-,-,-,-,-
364,14.56,-1329987,-3253.1452110280425,nan,-,-,-,-,-
365,14.6,-1335635,-3441.7705441290673,nan,-,-,-,-,-
366,14.64,-1341609,-2907.3638656079215,nan,-,-,-,-,-
367,14.68,-1347019,-2771.908311624531,nan,-,-,-,-,-
368,14.72,-1327282,-3945.555931529918,nan,-,-,-,-,-
369,14.76,-1282373,-5982.319557414325,nan,-,-,-,-,-
370,14.8,-1277548,-6246.798916633044,nan,-,-,-,-,-
371,14.84,-1283145,-5373.833509700191,nan,-,-,-,-,-
372,14.88,-1288339,-3788.947337709111,nan,-,-,-,-,-
373,14.92,-1291676,-1914.0599338162656,nan,-,-,-,-,-
374,14.96,-1297331,14.602532634271483,nan,-,-,-,-,-
376,15.04,-1292864,3605.0360568995957,nan,-,-,-,-,-
377,15.08,-1295687,6254.544940422413,nan,-,-,-,-,-
378,15.12,-1302079,8650.86941177441,nan,-,-,-,-,-
379,15.16,-1308915,8830.110453982972,nan,-,-,-,-,-
380,15.2,-1316307,5837.738094831857,nan,-,-,-,-,-
381,15.24,-1323372,1197.1657198393186,nan,-,-,-,-,-
382,15.28,-1329999,-2258.091720232769,nan,-,-,-,-,-
383,15.32,-1336058,-3168.379763609717,nan,-,-,-,-,-
384,15.36,-1341564,-2418.167488260352,nan,-,-,-,-,-
385,15.4,-1346607,-1585.951395493193,nan,-,-,-,-,-
386,15.44,-1316238,-2622.166556869848,nan,-,-,-,-,-
387,15.48,-1277973,-4522.239731974514,nan,-,-,-,-,-
388,15.52,-1275841,-5224.628345335026,nan,-,-,-,-,-
389,15.56,-1280694,-5020.3317211376525,nan,-,-,-,-,-
390,15.6,-1284370,-3970.982516058015,nan,-,-,-,-,-
391,15.64,-1286625,-2378.099589582124,nan,-,-,-,-,-
392,15.68,-1292127,-495.16917290641504,nan,-,-,-,-,-
