muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
222,8.88,-1444011,-362.3028932914936,90,-,-,-,-
223,8.92,-1444662,-315.9773651274471,90,-,-,-,-
224,8.96,-1444634,-425.0491670539624,90,-,-,-,-
225,9.0,-1437575,-770.6508410979714,85,86.66666666666667,-,-,-
226,9.04,-1434947,-866.5475302504137,85,-,-,-,-
227,9.08,-1435845,-712.3316588966395,85,-,-,-,-
228,9.12,-1435788,-499.24473858387705,85,-,-,-,-
229,9.16,-1436436,-242.90896410656262,85,-,-,-,-
230,9.2,-1436664,-26.059174163907414,85,-,-,-,-
231,9.24,-1436787,162.20130294524324,85,-,-,-,-
232,9.28,-1437213,393.5561383554516,85,-,-,-,-
233,9.32,-1437866,731.8233575836725,85,-,-,-,-
234,9.36,-1438427,1110.3353729801397,85,-,-,-,-
235,9.4,-1439131,1292.9504378427305,85,-,-,-,-
236,9.44,-1440170,1047.9585364032118,85,-,-,-,-
237,9.48,-1441014,435.5486453180645,85,-,-,-,-
238,9.52,-1441736,-162.66624704495916,85,-,-,-,-
239,9.56,-1442321,-451.2183298738503,85,-,-,-,-
240,9.6,-1442680,-469.442373408522,85,-,-,-,-
241,9.64,-1443011,-419.0634634027002,85,-,-,-,-
242,9.68,-1444160,-395.445692583403,85,-,-,-,-
243,9.72,-1445316,-409.61821628737175,85,-,-,-,-
244,9.76,-1443468,-500.1994061421947,85,-,-,-,-
245,9.8,-1435784,-727.4314170969556,85,-,-,-,-
246,9.84,-1433639,-719.4268793668816,85,-,-,-,-
247,9.88,-1435289,-527.9715218969427,85,-,-,-,-
248,9.92,-1436259,-301.23515150071205,85,-,-,-,-
249,9.96,-1437520,-41.54606657566637,85,-,-,-,-
250,10.0,-1436737,125.42609725214811,85,-,-,-,-
251,10.04,-1436818,282.83299901682267,85,-,-,-,-
252,10.08,-1437558,499.62857375188673,85,-,-,-,-
253,10.12,-1438252,841.0548959964904,85,-,-,-,-
254,10.16,-1439076,1226.6552659444833,85,-,-,-,-
255,10.2,-1440348,1349.6825457854711,85,-,-,-,-
256,10.24,-1441419,937.1909045282755,85,-,-,-,-
257,10.28,-1441796,152.63401023254028,85,-,-,-,-
258,10.32,-1442086,-481.80187944876286,85,-,-,-,-
259,10.36,-1442252,-661.4466226016045,85,-,-,-,-
260,10.4,-1443414,-498.3419426543587,85,-,-,-,-
261,10.44,-1444093,-365.3181880793131,85,-,-,-,-
262,10.48,-1445155,-375.5620740426198,85,-,basal,-,-
263,10.52,-1445466,-476.67192198598934,85,-,basal,-,-
264,10.56,-1440820,-670.77609906928,85,-,basal,-,-
265,10.6,-1434569,-798.7999770477327,85,-,basal,-,-
266,10.64,-1434905,-616.5083015421415,85,-,basal,-,-
267,10.68,-1436501,-342.36158160463674,85,-,basal,-,-
268,10.72,-1437293,-103.5292763306121,85,-,basal,-,-
269,10.76,-1437519,59.81664355236239,85,-,basal,-,-
270,10.8,-1437593,170.91885881475082,85,-,basal,-,-
271,10.84,-1436591,283.94776532932735,85,-,basal,-,-
