muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
141,5.64,-16775531,17.222186948209053,nan,-,-,-,-,-,"[50, 20, 15]",-
142,5.68,-16775485,-3.1328144276581296,nan,-,-,-,-,-,"[50, 20, 15]",-
143,5.72,-16775513,19.517319222422827,nan,-,-,-,-,-,"[50, 20, 15]",-
144,5.76,-16775486,0.23093220196385503,nan,-,-,-,-,-,"[50, 20, 15]",-
145,5.8,-16775586,9.77165226663067,nan,-,-,-,-,-,"[50, 20, 15]",-
146,5.84,-16775523,9.336913990351034,nan,-,-,-,-,-,"[50, 20, 15]",-
147,5.88,-16775437,8.183771292879376,nan,-,-,-,-,-,"[50, 20, 15]",-
148,5.92,-16775495,33.20178960119492,nan,-,-,-,-,-,"[50, 20, 15]",-
149,5.96,-16775441,3.9761816336552576,nan,-,-,-,-,-,"[50, 20, 15]",-
151,6.04,-16775511,-17.58618004984175,nan,-,-,-,-,-,"[50, 20, 15]",-
152,6.08,-16775524,55.55541128536713,nan,-,-,-,-,-,"[50, 20, 15]",-
153,6.12,-16775498,-7.002909151473675,nan,-,-,-,-,-,"[50, 20, 15]",-
154,6.16,-16775570,28.244075275633765,nan,-,-,-,-,-,"[50, 20, 15]",-
155,6.2,-16775603,23.868861659236067,nan,-,-,-,-,-,"[50, 20, 15]",-
156,6.24,-16775521,-6.903946245103581,nan,-,-,-,-,-,"[50, 20, 15]",-
157,6.28,-16775531,26.75895540811973,nan,-,-,-,-,-,"[50, 20, 15]",-
158,6.32,-16775496,-11.782508550172297,nan,-,-,-,-,-,"[50, 20, 15]",-
159,6.36,-16775453,-24.64885401207343,nan,-,-,-,-,-,"[50, 20, 15]",-
160,6.4,-16775482,-8.239499440745123,nan,-,-,-,-,-,"[50, 20, 15]",-
161,6.44,-16775500,-26.75385376480233,nan,-,-,-,-,-,"[50, 20, 15]",-
162,6.48,-16775489,-15.802120277310491,nan,-,-,-,-,-,"[50, 20, 15]",-
163,6.52,-16775456,-13.395487646358292,nan,-,-,-,-,-,"[50, 20, 15]",-
164,6.56,-16775473,-6.658554205579035,nan,-,-,-,-,-,"[50, 20, 15]",-
165,6.6,-16775574,-6.61712793846603,nan,-,-,-,-,-,"[50, 20, 15]",-
166,6.64,-16775585,8.91889969596248,nan,-,-,-,-,-,"[50, 20, 15]",-
167,6.68,-16775532,33.13063581422478,nan,-,-,-,-,-,"[50, 20, 15]",-
168,6.72,-16775561,15.22525589197722,nan,-,-,-,-,-,"[50, 20, 15]",-
169,6.76,-16775547,18.079884376420583,nan,-,-,-,-,-,"[50, 20, 15]",-
170,6.8,-16775419,-4.380213362566469,nan,-,-,-,-,-,"[50, 20, 15]",-
171,6.84,-16775455,8.303199434149537,nan,-,-,-,-,-,"[50, 20, 15]",-
172,6.88,-16775467,-1.740160134315521,nan,-,-,-,-,-,"[50, 20, 15]",-
173,6.92,-16775453,-9.98968136453098,nan,-,-,-,-,-,"[50, 20, 15]",-
174,6.96,-16775454,-2.635087242114814,nan,-,-,-,-,-,"[50, 20, 15]",-
175,7.0,-16775478,-22.28986033173411,nan,-,-,-,-,-,"[50, 20, 15]",-
176,7.04,-16775488,-19.33913720700042,nan,-,-,-,-,-,"[50, 20, 15]",-
177,7.08,-16775584,-4.909501744577018,nan,-,-,-,-,-,"[50, 20, 15]",-
178,7.12,-16775526,-26.89494106743194,nan,-,-,-,-,-,"[50, 20, 15]",-
179,7.16,-16775563,20.26954391278606,nan,-,-,-,-,-,"[50, 20, 15]",-
180,7.2,-16775563,33.036382070214664,nan,-,-,-,-,-,"[50, 20, 15]",-
181,7.24,-16775421,19.799206505079667,nan,-,-,-,-,-,"[50, 20, 15]",-
182,7.28,-16775461,-17.441147628982392,nan,-,-,-,-,-,"[50, 20, 15]",-
183,7.32,-16775578,-1.2534180949780138,nan,-,-,-,-,-,"[50, 20, 15]",-
184,7.36,-16775533,-5.327918231599176,nan,-,-,-,-,-,"[50, 20, 15]",-
185,7.4,-16775516,-15.645796465827607,nan,-,-,-,-,-,"[50, 20, 15]",-
186,7.44,-16775487,-23.193294077698198,nan,-,-,-,-,-,"[50, 20, 15]",-
187,7.48,-16775486,-19.462353924456448,nan,-,-,-,-,-,"[50, 20, 15]",-
188,7.52,-16775493,-18.015227418399284,nan,-,-,-,-,-,"[50, 20, 15]",-
189,7.56,-16775456,10.399392576714916,nan,-,-,-,-,-,"[50, 20, 15]",-
190,7.6,-16775584,13.186802519792002,nan,-,-,-,-,-,"[50, 20, 15]",-
191,7.64,-16775521,17.720352921899963,nan,-,-,-,-,-,"[50, 20, 15]",-
